Meta-Protein 2708;BE_03;BE_04;BE_06;BE_08;BE_09;BE_10;BE_40;BE_07;BE_01;BE_02;BE_05;BE_11;BE_12;BE_13;BE_14;BE_15;BE_16;BE_17;BE_18;BE_20;BE_21;BE_22;BE_25;BE_26;BE_28;BE_29_1;BE_29_2;BE_29_3;BE_32;BE_36;BE_37;BE_38;BE_41;BE_43;BE_45_1;BE_45_2;BE_45_3;BE_35;BE_44;BE_30;BE_33;BE_31;BE_34;BE_19;BE_23;BE_24;BE_27;BE_46;BE_48;BE_49;BE_50;BE_51;BE_52;BE_53;BE_55;BE_47;BE_54;BE_56;BE_57;BE_58;BE_59;BE_61;BE_63;BE_62;BE_60;BE_64
Meta-Protein 46;0;0.001922153;0;0;0.001820167;0;0;0.001616255;0;0;0;0;0.016740741;0.001431776;0;0.022495313;0.005953922;0.005940755;0.010867155;0.005989932;0.003590183;0.00640599;0.023859486;0.003259035;0.000866802;0.006450919;0.006445877;0.006484794;0.003622351;0.000619579;0.009432014;0.004498839;0.002159827;0.016733198;0.001202646;0.001582028;0.001157765;0.00825292;0.005834529;0.00521262;0.000156887;0.002471063;0.000756185;0.003528091;0.014105677;0.000162509;0.001872181;0.008783284;0.010835129;0.003847541;0.005345047;0.004871431;0.00530941;0.004816624;0.000662544;0.003341852;0.000595637;0.001575512;0.000580383;0.003680681;0.008573226;0.010130386;0.004935714;0.002786221;0.007843137;0.000199452
Meta-Protein 2643;0.002830189;0.015857761;0.013968254;0.010295127;0.009828904;0.017569546;0.014642263;0.001847148;0.002615063;0.018181818;0.010835913;0.002616089;0.008888889;0.00081134;0;0.009685482;0.005004746;0.008707682;0.006819694;0.006244823;0.003429429;0.00906822;0.010802829;0.002618867;0.002239237;0.006020858;0.005890198;0.008050089;0.004547206;0.001239157;0.006953528;0.005079334;0.004037938;0.014327118;0.003340683;0.00395507;0.003627663;0.004570848;0.007938785;0.004458162;0.004706621;0.002341007;0.005617371;0.002031325;0.010290207;0.001706346;0.004425155;0.006471893;0.009821315;0.003787423;0.005609653;0.004933095;0.00530941;0.004128535;0.000883392;0.003997117;0.003052639;0.001800585;0.002974463;0.002208408;0.007629385;0.006640492;0.003960758;0.00363053;0.006355646;0.00329095
Meta-Protein 3017;0.004245283;0.005766458;0;0.003431709;0.006188569;0;0;0;0;0;0;0.000654022;0.000888889;0.008065671;0.005369608;0.003957509;0.009664337;0.006998698;0.005267243;0.003186134;0.010824135;0.006905158;0.002098391;0.007391026;0.007367813;0.007042254;0.006945988;0.006932021;0.009479769;0.000885112;0.000688468;0.005708204;9.39E-05;0.006397988;0.001002205;0.001028318;0.001312133;0.0047613;0.003634625;0.001303155;0.000627549;0.004747041;0.000756185;0.008552948;0.000693722;0.002112619;0.00102119;0.003467086;0.004435433;0.005891547;0.007144369;0.005734723;0.005492494;0.003371637;0;0.002883166;0.005360733;0;0.005223447;0.006543432;0.007943999;0.007028258;0.004448236;0.005150287;0.007031778;0.005983545
Meta-Protein 45;0.001415094;0.005766458;0;0.000686342;0.00728067;0;0;0;0.004707113;0;0;0;0.000296296;0.013076886;0.004832647;0.002499479;0.008542583;0.006754557;0.006154358;0.002485184;0.010931304;0.005906822;0.0008549;0.00651807;0.007223346;0.007633588;0.007612803;0.004584079;0.009710983;0.000796601;0.000757315;0.00619195;9.39E-05;0.00672609;0.000334068;0.000870115;0.001003396;0.004951752;0.003443329;0.00048011;0.000313775;0.003901678;0.000432105;0.00892714;0.00011562;0.001300073;0.000765892;0.004252959;0.003675073;0.006192137;0.007144369;0.006104705;0.005492494;0.00254593;0;0.001638163;0.004914005;0;0.004933256;0.007034189;0.006056316;0.009015559;0.003838889;0.003883823;0.006693712;0.007728746
Meta-Protein 2711;0.041981132;0.000480538;0.001269841;0.000686342;0.022206043;0.000732064;0;0.009928423;0;0.004545455;0.002321981;0;0.000148148;0.000143178;0.000715948;0.001145595;0.000172577;0.001790365;0.001053449;0.001784235;0.000803772;0.001081531;0.0025647;0.000407379;0.000288934;0.001021396;0.001222494;0.001565295;0.00894027;8.85E-05;0.001583477;0.000725619;0.007418537;0.002952917;0.009821608;0.011390603;0.009570855;0.000888776;0.010712578;0.001028807;0.005177283;0.000845364;0.007021713;0.000801839;0.001849925;0.011944422;0.000765892;0.005454882;0.00171081;0.007334375;0.00338696;0.009927853;0.010069572;0.01589486;0.011484099;0.010418714;0.006998734;0.009678145;0.006819501;0.010469491;0.002438257;0.003441423;0.00938395;0.006079027;0.002772143;0.003440539
Meta-Protein 4416;0.000943396;0.001922153;0;0.000686342;0.006188569;0;0;0.018702378;0;0;0;0;0.005037037;0.001813583;0.020583497;0.000520725;0.008974027;0.004557292;0.005489022;0.001147008;0.000696603;0.004492512;0.000932618;0.002793459;0.004045074;0.005214493;0.00477884;0.005031306;0.004855491;0.009913259;0.003855422;0.012383901;0.00084515;0.001476459;0;0;0;0.003110716;0.001147776;0.001989026;0;0.003966706;0.000108026;0.003955738;0.00369985;0.003412692;0;0.003420858;0.002407806;0.002945774;0.002910669;0.003206512;0.0050653;0.011903943;0.017226148;0.000655265;0.004765096;0.018230925;0.004643064;0.002126615;0.001573069;0.003296011;0.000731217;0.00270179;0.003786342;0.003889304
Meta-Protein 2817;0;0.000961076;0;0.001372684;0.002912268;0;0;0;0.004707113;0;0;0;0.000444444;0.010451964;0.000357974;0.00104145;0.009491759;0.002278646;0.004213795;0.000764672;0.013556961;0.001913478;0.000621746;0.008671361;0.004261774;0.007149769;0.007557235;0.001453488;0.003545279;0.000531067;0.000413081;0.002805728;0;0.001859244;0.000400882;0.000316406;0.000385922;0.000761808;0.000860832;0.000137174;0.000156887;0.001235531;0.000216053;0.016036778;0.000231241;0.000568782;0.000255297;0.000647189;0.002407806;0.002404713;0.006985605;0.006228032;0.001159526;0.000894516;0;0.001376057;0.002680366;0;0.002901915;0.003026337;0.004011326;0.007028258;0.001401499;0.006416751;0.006828938;0.001296435
Meta-Protein 82;0;0;0;0;0;0;0;0;0;0;0;0;0.006222222;0.001670405;0;0.010831077;0.001294331;8.14E-05;0.000499002;0;0.020844497;0;0.002176109;0.03142641;0.008668015;0.000752607;0.001222494;0.001453488;0.001078998;0.03567003;0.022306368;0.003724845;0;0;0;0;0;0;0;0;0;0;0;0.008606404;0.004856053;0;8.51E-05;0;0.000253453;0.000120236;0.001375953;0.000123327;0.000427194;0.000275236;0;0.002555534;0;0;0;0.000899722;7.87E-05;0.003005186;0.00231552;0.000675447;0.00250169;0.002792321
Meta-Protein 3125;0.001886792;0.00528592;0.01015873;0.006177076;0.003640335;0.010980966;0.010981697;0.000461787;0.001569038;0.006493506;0.010835913;0.003270111;0.002814815;0.000334081;0;0.004478234;0.002070929;0.006347656;0.003104901;0.006372268;0.001768299;0.005574043;0.004429937;0.000872956;0.001155735;0.002365337;0.003111803;0.000559034;0.001695568;0.000885112;0.002340792;0.002031734;0.005540426;0.0056871;0.005278279;0.00395507;0.00447669;0.003364652;0.006217121;0.004458162;0.009256354;0.002666146;0.005293292;0.001550222;0.004393572;0.003006419;0.003318866;0.003929364;0.006653149;0.001623181;0.00296359;0.002466547;0.003417552;0.001651414;0.000220848;0.00393159;0.003350458;0.000675219;0.004135229;0.001226894;0.009517068;0.002956716;0.003351411;0.00270179;0.002163624;0.002543007
Meta-Protein 3612;0.002358491;0.006727535;0.003174603;0.00754976;0.005824536;0.004392387;0.003993344;0.000692681;0;0.005844156;0.005417957;0.004578156;0.006074074;0.00057271;0;0.005103104;0.004141859;0.005777995;0.003770237;0.003759638;0.002572072;0.005324459;0.005362555;0.002095094;0.001444669;0.003763036;0.00344521;0.005143113;0.003468208;0.00070809;0.003924269;0.002660604;0.003004977;0.005741784;0.002872987;0.002531245;0.001929608;0.003047232;0.005260641;0.002880658;0.002667085;0.002341007;0.00118829;0.002672796;0.005896635;0.000650037;0.002638073;0.004160503;0.005385883;0.002464831;0.002751905;0.003144848;0.003417552;0.003234019;0.000220848;0.00281764;0.00193582;0.000675219;0.001886245;0.00196303;0.005584395;0.003441423;0.002863933;0.003377237;0.003448276;0.00034904
