"","Temperature","Conductivity","TS","VS","pH.value","Total.VFA","TAN","Sludge","Agro","Dranco"
"Temperature",1,0.0354578412051871,0.368306632107841,0.31270320001678,0.43944439420278,0.151796006859329,0.0999323711823916,-0.525541352521405,-0.141068581827165,0.612695540648307
"Conductivity",0.0354578412051871,1,0.0613026911750813,-0.0202573235074451,0.376553204471922,0.545952186718844,0.568928130448494,-0.41305199050458,0.611598568898246,-0.310388412159037
"TS",0.368306632107841,0.0613026911750813,1,0.783036965011929,0.277556027691153,0.234007689432197,0.0404592734065014,-0.507351542873175,0.0582886534075703,0.378315328007234
"VS",0.31270320001678,-0.0202573235074451,0.783036965011929,1,0.192342492404463,0.130708274771331,-0.0836751717155382,-0.331894844136606,-0.0636747640623115,0.359077440608396
"pH.value",0.43944439420278,0.376553204471922,0.277556027691153,0.192342492404463,1,0.266825338105358,0.406702938257506,-0.546410092731652,0.257223048002067,0.194296393780339
"Total.VFA",0.151796006859329,0.545952186718844,0.234007689432197,0.130708274771331,0.266825338105358,1,0.439344262295082,-0.431880709428755,0.481385078809793,-0.151243416722156
"TAN",0.0999323711823916,0.568928130448494,0.0404592734065014,-0.0836751717155382,0.406702938257506,0.439344262295082,1,-0.466585409293566,0.499781960802524,-0.141160522274013
"Sludge",-0.525541352521405,-0.41305199050458,-0.507351542873175,-0.331894844136606,-0.546410092731652,-0.431880709428755,-0.466585409293566,1,-0.503051910333114,-0.320180300416126
"Agro",-0.141068581827165,0.611598568898246,0.0582886534075703,-0.0636747640623115,0.257223048002067,0.481385078809793,0.499781960802524,-0.503051910333114,1,-0.657691523082732
"Dranco",0.612695540648307,-0.310388412159037,0.378315328007234,0.359077440608396,0.194296393780339,-0.151243416722156,-0.141160522274013,-0.320180300416126,-0.657691523082732,1
