"","Temperature","Conductivity","TS","VS","pH.value","Total.VFA","TAN","Sludge","Agro","Dranco"
"Temperature",1,-0.0732107112024301,0.498134545862425,0.468250253865295,0.482938791267149,-0.185144218557374,-0.0432929892650826,-0.467954020395116,-0.25562142890798,0.68806970500296
"Conductivity",-0.0732107112024301,1,-0.274248541080049,-0.341792235747045,0.408156522134812,0.666180021089848,0.789100688958253,-0.506577089498174,0.724571030381197,-0.352706805906548
"TS",0.498134545862425,-0.274248541080049,1,0.961509497858794,0.37149379662461,-0.042294550909853,-0.212577960414731,-0.374830746789711,-0.333103391354113,0.691835329923083
"VS",0.468250253865295,-0.341792235747045,0.961509497858794,1,0.282757075965115,-0.127585153125271,-0.293746997333974,-0.270965561381102,-0.390542453993522,0.664268208293882
"pH.value",0.482938791267149,0.408156522134812,0.37149379662461,0.282757075965115,1,0.187820354095124,0.512260065917805,-0.650554319989372,0.24953798274584,0.293492706931999
"Total.VFA",-0.185144218557374,0.666180021089848,-0.042294550909853,-0.127585153125271,0.187820354095124,1,0.584194366498041,-0.259736414541728,0.463104077108626,-0.281245949776108
"TAN",-0.0432929892650826,0.789100688958253,-0.212577960414731,-0.293746997333974,0.512260065917805,0.584194366498041,1,-0.504866394017283,0.562674594834779,-0.176734662593822
"Sludge",-0.467954020395116,-0.506577089498174,-0.374830746789711,-0.270965561381102,-0.650554319989372,-0.259736414541728,-0.504866394017283,1,-0.503051910333115,-0.320180300416126
"Agro",-0.25562142890798,0.724571030381197,-0.333103391354113,-0.390542453993522,0.24953798274584,0.463104077108626,0.562674594834779,-0.503051910333115,1,-0.657691523082732
"Dranco",0.68806970500296,-0.352706805906548,0.691835329923083,0.664268208293882,0.293492706931999,-0.281245949776108,-0.176734662593822,-0.320180300416126,-0.657691523082732,1
