"","Temperature","Conductivity","TS","VS","pH.value","Total.VFA","TAN","Sludge","Agro","Dranco"
"Temperature",1,0.0563959204049413,0.454954520851319,0.386989002473601,0.546737219479377,0.238124927331515,0.156171411878807,-0.574290561971203,-0.154154101756824,0.669529171525726
"Conductivity",0.0563959204049413,1,0.049818864549242,-0.0512078061208537,0.460604897031865,0.725395315414946,0.755143054628368,-0.501264825973206,0.742213709779574,-0.376676052849755
"TS",0.454954520851319,0.049818864549242,1,0.922615191460291,0.390779919604749,0.320288743865107,0.0730320738508566,-0.616024127143125,0.0707738398397313,0.459348893275719
"VS",0.386989002473601,-0.0512078061208537,0.922615191460291,1,0.280368574993218,0.211404471522898,-0.109761095846348,-0.402880421162332,-0.0772935049038527,0.435876823813086
"pH.value",0.546737219479377,0.460604897031865,0.390779919604749,0.280368574993218,1,0.366671860637927,0.557306879517598,-0.626372039502499,0.294865207153541,0.222729832517828
"Total.VFA",0.238124927331515,0.725395315414946,0.320288743865107,0.211404471522898,0.366671860637927,1,0.605235325224749,-0.524660668627162,0.584799950082395,-0.183734698981718
"TAN",0.156171411878807,0.755143054628368,0.0730320738508566,-0.109761095846348,0.557306879517598,0.605235325224749,1,-0.566820900927559,0.607148992760703,-0.171485719049603
"Sludge",-0.574290561971203,-0.501264825973206,-0.616024127143125,-0.402880421162332,-0.626372039502499,-0.524660668627162,-0.566820900927559,1,-0.503051910333114,-0.320180300416126
"Agro",-0.154154101756824,0.742213709779574,0.0707738398397313,-0.0772935049038527,0.294865207153541,0.584799950082395,0.607148992760703,-0.503051910333114,1,-0.657691523082732
"Dranco",0.669529171525726,-0.376676052849755,0.459348893275719,0.435876823813086,0.222729832517828,-0.183734698981718,-0.171485719049603,-0.320180300416126,-0.657691523082732,1
